epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82935,0.87496,1.89315,1.2858,1,0.67626,0.81814,0.59423,0.85108,3.05497,1.28936,0.000651515,0.000651515,0.000651515
2,16.9203,0.84264,1.32616,1.24269,0.93025,0.80829,0.90128,0.69396,0.94505,2.671,1.36271,0.00129208,0.00129208,0.00129208
3,24.4669,0.89769,1.23929,1.23201,0.94242,0.76768,0.85103,0.68909,0.82305,2.09573,1.22441,0.00190625,0.00190625,0.00190625
4,31.9312,0.86596,1.13887,1.19906,0.9454,0.87447,0.92524,0.70721,0.84191,1.68334,1.20474,0.0018812,0.0018812,0.0018812
5,39.3848,0.85387,1.0012,1.19864,0.89833,0.89247,0.93892,0.68517,0.98613,1.29875,1.39078,0.0018416,0.0018416,0.0018416
6,46.9952,0.85696,0.95279,1.20631,0.98832,0.85444,0.94081,0.70317,0.91006,1.10119,1.28708,0.001802,0.001802,0.001802
7,54.6646,0.83023,0.84533,1.175,0.98077,0.90909,0.96142,0.75045,0.82497,1.0546,1.21081,0.0017624,0.0017624,0.0017624
8,61.6904,0.85091,0.83539,1.17454,0.95681,0.94949,0.95983,0.75971,0.83236,0.93078,1.21687,0.0017228,0.0017228,0.0017228
9,68.1652,0.75467,0.74697,1.16295,0.98917,0.9223,0.9653,0.79348,0.77091,0.76856,1.12049,0.0016832,0.0016832,0.0016832
10,74.9244,0.79289,0.71183,1.15592,0.9686,0.93486,0.96724,0.81556,0.69947,0.68915,1.07924,0.0016436,0.0016436,0.0016436
11,81.491,0.76396,0.67361,1.12629,1,0.93562,0.97125,0.81023,0.67513,0.7348,1.11163,0.001604,0.001604,0.001604
12,88.0428,0.77533,0.67787,1.1514,0.95958,0.95916,0.96999,0.78126,0.68501,0.62372,1.1039,0.0015644,0.0015644,0.0015644
13,94.7817,0.73962,0.64023,1.1212,0.98959,0.96,0.98109,0.81371,0.68388,0.54948,1.09405,0.0015248,0.0015248,0.0015248
14,101.544,0.72992,0.62323,1.08644,0.98697,0.94949,0.9867,0.81417,0.68629,0.52856,1.08665,0.0014852,0.0014852,0.0014852
15,108.257,0.76078,0.62004,1.11666,0.96944,0.96136,0.98865,0.79904,0.68556,0.63161,1.06937,0.0014456,0.0014456,0.0014456
16,114.929,0.72076,0.59824,1.10037,0.97931,0.95608,0.98242,0.81145,0.66651,0.55612,1.04788,0.001406,0.001406,0.001406
17,121.368,0.70466,0.56646,1.07353,0.99872,0.9596,0.98017,0.78623,0.72835,0.57154,1.09691,0.0013664,0.0013664,0.0013664
18,127.86,0.72508,0.57134,1.09776,0.9967,0.94949,0.97863,0.79873,0.7225,0.54989,1.10425,0.0013268,0.0013268,0.0013268
